year,time_period,establishment_type,establishment_type_group,characteristic_sex,number_of_students,aps,aps_grade,version,cert_type
2016,201516,All FE sector colleges,All FE sector colleges,All students,94459,29.21,C,Revised,A level
2016,201516,All independent schools,All independent schools,All students,37867,40.76,B,Revised,A level
2016,201516,All institutions,All Institutions,All students,323273,31.79,C+,Revised,A level
2016,201516,All schools,All schools,All students,239749,32.58,C+,Revised,A level
2016,201516,All state-funded,All state-funded,All students,286399,30.44,C,Revised,A level
2016,201516,All state-funded schools,All state-funded schools,All students,201871,30.84,C,Revised,A level
2016,201516,Converter academies - mainstream,All state-funded schools,All students,118274,32.07,C+,Revised,A level
2016,201516,Free schools,All state-funded schools,All students,602,26.23,C-,Revised,A level
2016,201516,Free schools 16-19,All state-funded schools,All students,1100,33.89,C+,Revised,A level
2016,201516,Independent schools,All independent schools,All students,37744,40.79,B,Revised,A level
2016,201516,Independent special schools,All independent schools,All students,123,24.73,D+,Revised,A level
2016,201516,LA maintained mainstream schools,All state-funded schools,All students,58737,29.63,C,Revised,A level
2016,201516,Other FE sector colleges,All FE sector colleges,All students,30206,26.28,C-,Revised,A level
2016,201516,Sixth form colleges,All FE sector colleges,All students,64253,30.4,C,Revised,A level
2016,201516,Sponsored academies - mainstream,All state-funded schools,All students,21259,26.18,C-,Revised,A level
2016,201516,Studio schools,All state-funded schools,All students,292,24.73,D+,Revised,A level
2016,201516,University technical colleges (UTCs),All state-funded schools,All students,1059,20.22,D,Revised,A level
2016,201516,All FE sector colleges,All FE sector colleges,All students,72416,32.6,Dist-,Revised,Applied general
2016,201516,All independent schools,All independent schools,All students,1068,38.16,Dist+,Revised,Applied general
2016,201516,All institutions,All Institutions,All students,125325,34.69,Dist,Revised,Applied general
2016,201516,All schools,All schools,All students,54880,37.99,Dist+,Revised,Applied general
2016,201516,All state-funded,All state-funded,All students,124269,34.66,Dist,Revised,Applied general
2016,201516,All state-funded schools,All state-funded schools,All students,53810,37.99,Dist+,Revised,Applied general
2016,201516,Converter academies - mainstream,All state-funded schools,All students,23272,38.3,Dist+,Revised,Applied general
2016,201516,Free schools,All state-funded schools,All students,146,33.35,Dist,Revised,Applied general
2016,201516,Free schools 16-19,All state-funded schools,All students,355,32.49,Dist-,Revised,Applied general
2016,201516,Independent schools,All independent schools,All students,1019,38.48,Dist+,Revised,Applied general
2016,201516,Independent special schools,All independent schools,All students,49,29.52,Merit+,Revised,Applied general
2016,201516,LA maintained mainstream schools,All state-funded schools,All students,16541,38.5,Dist+,Revised,Applied general
2016,201516,Other FE sector colleges,All FE sector colleges,All students,52463,31.17,Dist-,Revised,Applied general
2016,201516,Sixth form colleges,All FE sector colleges,All students,19953,37.33,Dist+,Revised,Applied general
2016,201516,Sponsored academies - mainstream,All state-funded schools,All students,12331,37.22,Dist+,Revised,Applied general
2016,201516,Studio schools,All state-funded schools,All students,378,32.43,Dist-,Revised,Applied general
2016,201516,University technical colleges (UTCs),All state-funded schools,All students,400,32.32,Dist-,Revised,Applied general
2016,201516,All FE sector colleges,All FE sector colleges,All students,57020,29.73,Merit+,Revised,Tech level
2016,201516,All independent schools,All independent schools,All students,193,36.86,Dist+,Revised,Tech level
2016,201516,All institutions,All Institutions,All students,69318,30.77,Dist-,Revised,Tech level
2016,201516,All schools,All schools,All students,12620,36.89,Dist+,Revised,Tech level
2016,201516,All state-funded,All state-funded,All students,69129,30.76,Dist-,Revised,Tech level
2016,201516,All state-funded schools,All state-funded schools,All students,12427,36.89,Dist+,Revised,Tech level
2016,201516,Converter academies - mainstream,All state-funded schools,All students,4636,37.22,Dist+,Revised,Tech level
2016,201516,Free schools,All state-funded schools,All students,98,33.45,Dist,Revised,Tech level
2016,201516,Free schools 16-19,All state-funded schools,All students,127,30,Dist-,Revised,Tech level
2016,201516,Independent schools,All independent schools,All students,163,38.07,Dist+,Revised,Tech level
2016,201516,Independent special schools,All independent schools,All students,30,29.48,Merit+,Revised,Tech level
2016,201516,LA maintained mainstream schools,All state-funded schools,All students,3412,37.56,Dist+,Revised,Tech level
2016,201516,Other FE sector colleges,All FE sector colleges,All students,50395,28.98,Merit+,Revised,Tech level
2016,201516,Sixth form colleges,All FE sector colleges,All students,6625,36.43,Dist,Revised,Tech level
2016,201516,Sponsored academies - mainstream,All state-funded schools,All students,2878,36.84,Dist+,Revised,Tech level
2016,201516,Studio schools,All state-funded schools,All students,268,32.73,Dist-,Revised,Tech level
2016,201516,University technical colleges (UTCs),All state-funded schools,All students,848,35.73,Dist,Revised,Tech level
2017,201617,All FE sector colleges,All FE sector colleges,All students,91729,30.03,C,Revised,A level
2017,201617,All independent schools,All independent schools,All students,38168,40.69,B,Revised,A level
2017,201617,All institutions,All Institutions,All students,316202,32.39,C+,Revised,A level
2017,201617,All schools,All schools,All students,235654,33.07,C+,Revised,A level
2017,201617,All state-funded,All state-funded,All students,278897,31.13,C,Revised,A level
2017,201617,All state-funded schools,All state-funded schools,All students,197423,31.45,C,Revised,A level
2017,201617,Converter academies - mainstream,All state-funded schools,All students,119639,32.55,C+,Revised,A level
2017,201617,Free schools,All state-funded schools,All students,947,28.6,C,Revised,A level
2017,201617,Free schools 16-19,All state-funded schools,All students,1654,34.94,C+,Revised,A level
2017,201617,Independent schools,All independent schools,All students,38110,40.7,B,Revised,A level
2017,201617,Independent special schools,All independent schools,All students,58,26.44,C-,Revised,A level
2017,201617,LA maintained mainstream schools,All state-funded schools,All students,51824,30.38,C,Revised,A level
2017,201617,Other FE sector colleges,All FE sector colleges,All students,28120,26.99,C-,Revised,A level
2017,201617,Sixth form colleges,All FE sector colleges,All students,63609,31.24,C,Revised,A level
2017,201617,Sponsored academies - mainstream,All state-funded schools,All students,21029,27,C-,Revised,A level
2017,201617,Studio schools,All state-funded schools,All students,349,23.41,D+,Revised,A level
2017,201617,University technical colleges (UTCs),All state-funded schools,All students,1525,21.16,D,Revised,A level
2017,201617,All FE sector colleges,All FE sector colleges,All students,75637,33.53,Dist,Revised,Applied general
2017,201617,All independent schools,All independent schools,All students,1419,39.31,Dist+,Revised,Applied general
2017,201617,All institutions,All Institutions,All students,123715,35.72,Dist,Revised,Applied general
2017,201617,All schools,All schools,All students,50864,39.59,Dist+,Revised,Applied general
2017,201617,All state-funded,All state-funded,All students,122282,35.69,Dist,Revised,Applied general
2017,201617,All state-funded schools,All state-funded schools,All students,49424,39.6,Dist+,Revised,Applied general
2017,201617,Converter academies - mainstream,All state-funded schools,All students,22241,39.9,Dist+,Revised,Applied general
2017,201617,Free schools,All state-funded schools,All students,146,38.28,Dist+,Revised,Applied general
2017,201617,Free schools 16-19,All state-funded schools,All students,385,34.92,Dist,Revised,Applied general
2017,201617,Independent schools,All independent schools,All students,1397,39.34,Dist+,Revised,Applied general
2017,201617,Independent special schools,All independent schools,All students,22,36.73,Dist+,Revised,Applied general
2017,201617,LA maintained mainstream schools,All state-funded schools,All students,13887,39.87,Dist+,Revised,Applied general
2017,201617,Other FE sector colleges,All FE sector colleges,All students,54300,31.97,Dist-,Revised,Applied general
2017,201617,Sixth form colleges,All FE sector colleges,All students,21337,38.64,Dist+,Revised,Applied general
2017,201617,Sponsored academies - mainstream,All state-funded schools,All students,11504,39.08,Dist+,Revised,Applied general
2017,201617,Studio schools,All state-funded schools,All students,389,35.83,Dist,Revised,Applied general
2017,201617,University technical colleges (UTCs),All state-funded schools,All students,501,36.43,Dist,Revised,Applied general
2017,201617,All FE sector colleges,All FE sector colleges,All students,52225,31.13,Dist-,Revised,Tech level
2017,201617,All independent schools,All independent schools,All students,211,36.22,Dist,Revised,Tech level
2017,201617,All institutions,All Institutions,All students,64453,32.26,Dist-,Revised,Tech level
2017,201617,All schools,All schools,All students,12781,38.43,Dist+,Revised,Tech level
2017,201617,All state-funded,All state-funded,All students,64244,32.25,Dist-,Revised,Tech level
2017,201617,All state-funded schools,All state-funded schools,All students,12568,38.47,Dist+,Revised,Tech level
2017,201617,Converter academies - mainstream,All state-funded schools,All students,4854,38.82,Dist+,Revised,Tech level
2017,201617,Free schools,All state-funded schools,All students,126,43.85,Dist*-,Revised,Tech level
2017,201617,Free schools 16-19,All state-funded schools,All students,122,32.38,Dist-,Revised,Tech level
2017,201617,Independent schools,All independent schools,All students,194,36.36,Dist,Revised,Tech level
2017,201617,Independent special schools,All independent schools,All students,17,33.95,Dist,Revised,Tech level
2017,201617,LA maintained mainstream schools,All state-funded schools,All students,3229,39.27,Dist+,Revised,Tech level
2017,201617,Other FE sector colleges,All FE sector colleges,All students,45088,30.29,Dist-,Revised,Tech level
2017,201617,Sixth form colleges,All FE sector colleges,All students,7137,37.62,Dist+,Revised,Tech level
2017,201617,Sponsored academies - mainstream,All state-funded schools,All students,2640,38.34,Dist+,Revised,Tech level
2017,201617,Studio schools,All state-funded schools,All students,222,33.69,Dist,Revised,Tech level
2017,201617,University technical colleges (UTCs),All state-funded schools,All students,1218,36.47,Dist,Revised,Tech level
2018,201718,All FE sector colleges,All FE sector colleges,All students,76552,31.13,C,Revised,A level
2018,201718,All independent schools,All independent schools,All students,36532,41.31,B,Revised,A level
2018,201718,All institutions,All Institutions,All students,299420,33.33,C+,Revised,A level
2018,201718,All schools,All schools,All students,232035,33.87,C+,Revised,A level
2018,201718,All state-funded,All state-funded,All students,263436,32.12,C+,Revised,A level
2018,201718,All state-funded schools,All state-funded schools,All students,195454,32.35,C+,Revised,A level
2018,201718,Converter academies - mainstream,All state-funded schools,All students,125956,33.31,C+,Revised,A level
2018,201718,Free schools,All state-funded schools,All students,1094,29.57,C,Revised,A level
2018,201718,Free schools 16-19,All state-funded schools,All students,1746,36.53,B-,Revised,A level
2018,201718,Independent schools,All independent schools,All students,36470,41.32,B,Revised,A level
2018,201718,Independent special schools,All independent schools,All students,62,26.21,C-,Revised,A level
2018,201718,LA maintained mainstream schools,All state-funded schools,All students,44273,31.46,C,Revised,A level
2018,201718,Other FE sector colleges,All FE sector colleges,All students,26517,28.06,C-,Revised,A level
2018,201718,Sixth form colleges,All FE sector colleges,All students,50035,32.68,C+,Revised,A level
2018,201718,Sponsored academies - mainstream,All state-funded schools,All students,20082,27.76,C-,Revised,A level
2018,201718,Studio schools,All state-funded schools,All students,366,21.61,D,Revised,A level
2018,201718,University technical colleges (UTCs),All state-funded schools,All students,1501,20.19,D,Revised,A level
2018,201718,All FE sector colleges,All FE sector colleges,All students,10667,26.25,Merit,Revised,Applied general
2018,201718,All independent schools,All independent schools,All students,551,30.46,Dist-,Revised,Applied general
2018,201718,All institutions,All Institutions,All students,45797,28.45,Merit+,Revised,Applied general
2018,201718,All schools,All schools,All students,35335,29.1,Merit+,Revised,Applied general
2018,201718,All state-funded,All state-funded,All students,45245,28.43,Merit+,Revised,Applied general
2018,201718,All state-funded schools,All state-funded schools,All students,34782,29.09,Merit+,Revised,Applied general
2018,201718,Converter academies - mainstream,All state-funded schools,All students,17422,29.2,Merit+,Revised,Applied general
2018,201718,Free schools,All state-funded schools,All students,77,29.82,Merit+,Revised,Applied general
2018,201718,Free schools 16-19,All state-funded schools,All students,80,33.52,Dist,Revised,Applied general
2018,201718,Independent schools,All independent schools,All students,544,30.43,Dist-,Revised,Applied general
2018,201718,Independent special schools,All independent schools,All students,7,32.7,Dist-,Revised,Applied general
2018,201718,LA maintained mainstream schools,All state-funded schools,All students,8813,28.99,Merit+,Revised,Applied general
2018,201718,Other FE sector colleges,All FE sector colleges,All students,6175,25.19,Merit,Revised,Applied general
2018,201718,Sixth form colleges,All FE sector colleges,All students,4492,28.41,Merit+,Revised,Applied general
2018,201718,Sponsored academies - mainstream,All state-funded schools,All students,7510,28.84,Merit+,Revised,Applied general
2018,201718,Studio schools,All state-funded schools,All students,267,29.26,Merit+,Revised,Applied general
2018,201718,University technical colleges (UTCs),All state-funded schools,All students,537,29.94,Merit+,Revised,Applied general
2018,201718,All FE sector colleges,All FE sector colleges,All students,7017,25.6,Merit,Revised,Tech level
2018,201718,All independent schools,All independent schools,All students,29,24.9,Merit,Revised,Tech level
2018,201718,All institutions,All Institutions,All students,12829,28.1,Merit+,Revised,Tech level
2018,201718,All schools,All schools,All students,5881,31.46,Dist-,Revised,Tech level
2018,201718,All state-funded,All state-funded,All students,12800,28.11,Merit+,Revised,Tech level
2018,201718,All state-funded schools,All state-funded schools,All students,5852,31.49,Dist-,Revised,Tech level
2018,201718,Converter academies - mainstream,All state-funded schools,All students,2566,32.23,Dist-,Revised,Tech level
2018,201718,Free schools,All state-funded schools,All students,34,38.67,Dist+,Revised,Tech level
2018,201718,Free schools 16-19,All state-funded schools,All students,6,36.19,Dist,Revised,Tech level
2018,201718,Independent schools,All independent schools,All students,29,24.9,Merit,Revised,Tech level
2018,201718,Independent special schools,All independent schools,All students,0,NA,z,Revised,Tech level
2018,201718,LA maintained mainstream schools,All state-funded schools,All students,1186,31.5,Dist-,Revised,Tech level
2018,201718,Other FE sector colleges,All FE sector colleges,All students,6678,25.2,Merit,Revised,Tech level
2018,201718,Sixth form colleges,All FE sector colleges,All students,339,32.63,Dist-,Revised,Tech level
2018,201718,Sponsored academies - mainstream,All state-funded schools,All students,1178,30.93,Dist-,Revised,Tech level
2018,201718,Studio schools,All state-funded schools,All students,133,27.29,Merit+,Revised,Tech level
2018,201718,University technical colleges (UTCs),All state-funded schools,All students,734,30.41,Dist-,Revised,Tech level
2019,201819,All FE sector colleges,All FE sector colleges,All students,63507,31.92,C+,Revised,A level
2019,201819,All independent schools,All independent schools,All students,35751,41.24,B,Revised,A level
2019,201819,All institutions,All Institutions,All students,283532,34.01,C+,Revised,A level
2019,201819,All schools,All schools,All students,224966,34.48,C+,Revised,A level
2019,201819,All state-funded,All state-funded,All students,247994,32.87,C+,Revised,A level
2019,201819,All state-funded schools,All state-funded schools,All students,189176,33.09,C+,Revised,A level
2019,201819,Converter academies - mainstream,All state-funded schools,All students,125612,33.97,C+,Revised,A level
2019,201819,Free schools,All state-funded schools,All students,1494,29.78,C,Revised,A level
2019,201819,Free schools 16-19,All state-funded schools,All students,2930,38.12,B-,Revised,A level
2019,201819,Independent schools,All independent schools,All students,35705,41.25,B,Revised,A level
2019,201819,Independent special schools,All independent schools,All students,46,26.38,C-,Revised,A level
2019,201819,LA maintained mainstream schools,All state-funded schools,All students,37286,32.25,C+,Revised,A level
2019,201819,Other FE sector colleges,All FE sector colleges,All students,23312,28.57,C,Revised,A level
2019,201819,Sixth form colleges,All FE sector colleges,All students,40195,33.76,C+,Revised,A level
2019,201819,Sponsored academies - mainstream,All state-funded schools,All students,19777,28.36,C,Revised,A level
2019,201819,Studio schools,All state-funded schools,All students,351,25.37,C-,Revised,A level
2019,201819,University technical colleges (UTCs),All state-funded schools,All students,1283,23.06,D+,Revised,A level
2019,201819,All FE sector colleges,All FE sector colleges,All students,21219,27.2,Merit+,Revised,Applied general
2019,201819,All independent schools,All independent schools,All students,1054,31,Dist-,Revised,Applied general
2019,201819,All institutions,All Institutions,All students,68772,28.91,Merit+,Revised,Applied general
2019,201819,All schools,All schools,All students,48340,29.72,Merit+,Revised,Applied general
2019,201819,All state-funded,All state-funded,All students,67709,28.89,Merit+,Revised,Applied general
2019,201819,All state-funded schools,All state-funded schools,All students,47276,29.7,Merit+,Revised,Applied general
2019,201819,Converter academies - mainstream,All state-funded schools,All students,25474,29.85,Merit+,Revised,Applied general
2019,201819,Free schools,All state-funded schools,All students,78,29.54,Merit+,Revised,Applied general
2019,201819,Free schools 16-19,All state-funded schools,All students,269,31.33,Dist-,Revised,Applied general
2019,201819,Independent schools,All independent schools,All students,1046,30.99,Dist-,Revised,Applied general
2019,201819,Independent special schools,All independent schools,All students,8,33.04,Dist-,Revised,Applied general
2019,201819,LA maintained mainstream schools,All state-funded schools,All students,10622,29.2,Merit+,Revised,Applied general
2019,201819,Other FE sector colleges,All FE sector colleges,All students,14643,26.47,Merit,Revised,Applied general
2019,201819,Sixth form colleges,All FE sector colleges,All students,6576,29.57,Merit+,Revised,Applied general
2019,201819,Sponsored academies - mainstream,All state-funded schools,All students,9676,29.75,Merit+,Revised,Applied general
2019,201819,Studio schools,All state-funded schools,All students,311,27.56,Merit+,Revised,Applied general
2019,201819,University technical colleges (UTCs),All state-funded schools,All students,728,30.48,Dist-,Revised,Applied general
2019,201819,All FE sector colleges,All FE sector colleges,All students,12417,26.92,Merit+,Revised,Tech level
2019,201819,All independent schools,All independent schools,All students,51,30.65,Dist-,Revised,Tech level
2019,201819,All institutions,All Institutions,All students,19485,28.64,Merit+,Revised,Tech level
2019,201819,All schools,All schools,All students,7279,32.31,Dist-,Revised,Tech level
2019,201819,All state-funded,All state-funded,All students,19431,28.64,Merit+,Revised,Tech level
2019,201819,All state-funded schools,All state-funded schools,All students,7224,32.32,Dist-,Revised,Tech level
2019,201819,Converter academies - mainstream,All state-funded schools,All students,3241,33.17,Dist-,Revised,Tech level
2019,201819,Free schools,All state-funded schools,All students,37,37.01,Dist+,Revised,Tech level
2019,201819,Free schools 16-19,All state-funded schools,All students,33,30.27,Dist-,Revised,Tech level
2019,201819,Independent schools,All independent schools,All students,50,31.32,Dist-,Revised,Tech level
2019,201819,Independent special schools,All independent schools,All students,1,0,U,Revised,Tech level
2019,201819,LA maintained mainstream schools,All state-funded schools,All students,1320,32.06,Dist-,Revised,Tech level
2019,201819,Other FE sector colleges,All FE sector colleges,All students,11708,26.48,Merit,Revised,Tech level
2019,201819,Sixth form colleges,All FE sector colleges,All students,709,34.46,Dist,Revised,Tech level
2019,201819,Sponsored academies - mainstream,All state-funded schools,All students,1500,31.3,Dist-,Revised,Tech level
2019,201819,Studio schools,All state-funded schools,All students,159,30.42,Dist-,Revised,Tech level
2019,201819,University technical colleges (UTCs),All state-funded schools,All students,920,31.45,Dist-,Revised,Tech level
2020,201920,All FE sector colleges,All FE sector colleges,All students,58046,36.74,B-,Final,A level
2020,201920,All independent schools,All independent schools,All students,34964,46.56,A-,Final,A level
2020,201920,All schools,All schools,All students,215412,40.35,B,Final,A level
2020,201920,All institutions,All Institutions,All students,272015,39.64,B,Final,A level
2020,201920,All state-funded schools,All state-funded schools,All students,180411,39.07,B,Final,A level
2020,201920,All state-funded,All state-funded,All students,237220,38.55,B,Final,A level
2020,201920,Converter academies - mainstream,All state-funded schools,All students,123257,39.56,B,Final,A level
2020,201920,Free schools,All state-funded schools,All students,1903,37.11,B-,Final,A level
2020,201920,Free schools 16-19,All state-funded schools,All students,3219,41.25,B,Final,A level
2020,201920,Independent schools,All independent schools,All students,34913,46.57,A-,Final,A level
2020,201920,Independent special schools,All independent schools,All students,51,36.46,B-,Final,A level
2020,201920,LA maintained mainstream schools,All state-funded schools,All students,32009,38.62,B,Final,A level
2020,201920,Other FE sector colleges,All FE sector colleges,All students,23350,34.15,C+,Final,A level
2020,201920,Sixth form colleges,All FE sector colleges,All students,34696,38.39,B,Final,A level
2020,201920,Sponsored academies - mainstream,All state-funded schools,All students,18121,36.21,B-,Final,A level
2020,201920,Studio schools,All state-funded schools,All students,271,36.76,B-,Final,A level
2020,201920,University technical colleges (UTCs),All state-funded schools,All students,1195,33.57,C+,Final,A level
2020,201920,All FE sector colleges,All FE sector colleges,All students,26254,28.21,Merit+,Final,Applied general
2020,201920,All independent schools,All independent schools,All students,1545,33.23,Dist-,Final,Applied general
2020,201920,All schools,All schools,All students,54269,32.76,Dist-,Final,Applied general
2020,201920,All institutions,All Institutions,All students,79374,31.25,Dist-,Final,Applied general
2020,201920,All state-funded schools,All state-funded schools,All students,52710,32.75,Dist-,Final,Applied general
2020,201920,All state-funded,All state-funded,All students,77818,31.22,Dist-,Final,Applied general
